verbos_infinito
ir
ser
fazer
ter
ver
vir
estar
amar
poder
dar
haver
pôr
comer
querer
partir
falar
trazer
estudar
cantar
dizer
sair
ler
rir
saber
correr
dormir
vender
beber
pedir
sorrir
andar
escrever
ouvir
sentir
agir
ficar
chegar
gostar
brincar
caber
abrir
viver
conseguir
comprar
jogar
cair
corrigir
perder
manter
receber
pensar
passar
viajar
conhecer
assistir
dançar
aprender
começar
intervir
seguir
encontrar
crer
trabalhar
precisar
levar
deixar
dividir
dever
chamar
voar
voltar
colorir
subir
pular
expor
passear
entender
fugir
nascer
olhar
compor
usar
lembrar
parar
achar
valer
dirigir
medir
reaver
esquecer
acordar
morar
colocar
proteger
propor
feder
ganhar
fingir
esperar
conjugar
descer
morrer
mexer
tomar
tossir
entrar
requerer
pegar
contar
cumprir
possuir
bater
conversar
mandar
ajudar
chorar
lavar
chover
imprimir
continuar
descobrir
desejar
doer
preferir
acabar
vestir
sumir
doar
sonhar
existir
decidir
procurar
conter
suar
atender
prever
dispor
caminhar
nadar
divertir
pagar
construir
prover
mudar
acontecer
falir
entreter
escolher
mentir
almoçar
fechar
desistir
responder
participar
encher
crescer
realizar
enviar
tornar
avisar
parecer
perdoar
aderir
vencer
servir
permitir
sentar
terminar
ligar
buscar
tirar
apresentar
sofrer
demolir
casar
ferir
adquirir
entregar
levantar
agradecer
impor
perceber
criar
convidar
polir
perguntar
rever
adequar
precaver
aceitar
repor
tentar
mostrar
ensinar
informar
deter
odiar
pentear
aproveitar
matar
beijar
acreditar
aparecer
respeitar
visitar
gritar
julgar
zoar
resolver
obter
excluir
surgir
tocar
compreender
incluir
cuidar
roer
permanecer
pintar
discutir
cobrir
destruir
supor
repetir
ceder
imaginar
oferecer
limpar
escutar
cortar
convir
preparar
marcar
salvar
analisar
preocupar
prender
adorar
reter
varrer
merecer
garantir
plantar
roubar
ingerir
observar
interagir
reunir
competir
arrumar
unir
virar
colher
encaminhar
iniciar
abraçar
refletir
lutar
compartilhar
acompanhar
diminuir
provir
abolir
curtir
guardar
atingir
sugerir
bloquear
atrair
maquiar
aguardar
opor
despedir
cozinhar
exigir
soar
caçar
defender
explicar
repartir
apoiar
concluir
contradizer
presentear
ocorrer
contribuir
ansiar
distrair
lançar
alcançar
magoar
exercer
satisfazer
copiar
produzir
insistir
cansar
considerar
confundir
calar
apagar
resistir
errar
esconder
indicar
utilizar
quebrar
transformar
faltar
acender
tratar
descansar
desenhar
negar
conquistar
abençoar
saltar
lidar
deitar
praticar
conduzir
atrasar
formar
desenvolver
retirar
separar
despir
jantar
eleger
obedecer
namorar
engolir
mediar
comparecer
trocar
torcer
expressar
surpreender
reagir
consumir
assumir
impedir
trair
confiar
juntar
telefonar
orientar
substituir
lamber
moer
parir
devolver
gastar
prestar
reconhecer
refazer
enganar
aproximar
cuspir
prevenir
secar
orar
evitar
cobrar
comunicar
puxar
escanear
prometer
emprestar
aguar
abster
evoluir
agredir
temer
honrar
educar
proibir
intermediar
invadir
emitir
definir
convencer
semear
gemer
conferir
concordar
causar
animar
parabenizar
frear
afastar
cometer
reclamar
estrear
melhorar
auxiliar
escovar
morder
reger
provar
enjoar
comemorar
abandonar
importar
advir
atravessar
mover
optar
completar
retornar
alegrar
preencher
gerar
aplicar
distribuir
aplaudir
representar
perseguir
inserir
basear
constituir
banir
pretender
apanhar
demorar
soltar
assinar
duvidar
proporcionar
identificar
depor
organizar
cheirar
superar
coçar
apreciar
distinguir
adicionar
postar
confirmar
necessitar
focar
queimar
banhar
explodir
