noun,support,len,variation,is_human_related
australianos,australiano,12,4,True
sequestradores,sequestrador,14,4,True
sequestradoras,sequestrador,14,4,True
sequestradora,sequestrador,13,4,True
sequestrador,sequestrador,12,4,True
austriacas,austriaco,10,4,True
austriaco,austriaco,9,4,True
inquiridos,inquirido,10,4,True
inquisidor,inquisidor,10,4,True
inquisidora,inquisidor,11,4,True
inquisidoras,inquisidor,12,4,True
banqueiros,banqueiro,10,4,True
banqueiro,banqueiro,9,4,True
inquisidores,inquisidor,12,4,True
banqueiras,banqueiro,10,4,True
banqueira,banqueiro,9,4,True
serrador,serrador,8,4,True
serradora,serrador,9,4,True
serradoras,serrador,10,4,True
esloveno,esloveno,8,4,True
serradores,serrador,10,4,True
safados,safado,7,4,True
safado,safado,6,4,True
eslovenos,esloveno,9,4,True
hipotensos,hipotenso,10,4,True
sismologa,sismologo,9,4,True
sismologas,sismologo,10,4,True
sismologo,sismologo,9,4,True
sismologos,sismologo,10,4,True
hospedeiros,hospedeiro,11,4,True
individua,individuo,9,4,True
hospedeiro,hospedeiro,10,4,True
hospedeiras,hospedeiro,11,4,True
hospedeira,hospedeiro,10,4,True
escravas,escravo,8,4,True
hospedadores,hospedador,12,4,True
individuas,individuo,10,4,True
hospedadoras,hospedador,12,4,True
hospedadora,hospedador,11,4,True
sirios,sirio,6,4,True
sectaria,sectario,8,4,True
assassinos,assassino,10,4,True
assassino,assassino,9,4,True
sectarias,sectario,9,4,True
sectario,sectario,8,4,True
individuo,individuo,9,4,True
assassinas,assassino,10,4,True
escrava,escravo,7,4,True
sectarios,sectario,9,4,True
assassina,assassino,9,4,True
ideologos,ideologo,9,4,True
hospedador,hospedador,10,4,True
individuos,individuo,10,4,True
escravo,escravo,7,4,True
escravos,escravo,8,4,True
sistematizador,sistematizador,14,4,True
sistematizadora,sistematizador,15,4,True
sistematizadoras,sistematizador,16,4,True
sistematizadores,sistematizador,16,4,True
horticultores,horticultor,13,4,True
horticultoras,horticultor,13,4,True
horticultora,horticultor,12,4,True
saqueador,saqueador,9,4,True
saqueadora,saqueador,10,4,True
individuador,individuador,12,4,True
individuadora,individuador,13,4,True
individuadoras,individuador,14,4,True
individuadores,individuador,14,4,True
saqueiros,saqueiro,9,4,True
saqueiro,saqueiro,8,4,True
saqueiras,saqueiro,9,4,True
saqueira,saqueiro,8,4,True
saqueadores,saqueador,11,4,True
saqueadoras,saqueador,11,4,True
horticultor,horticultor,11,4,True
assediador,assediador,10,4,True
ideologa,ideologo,8,4,True
assessora,assessor,9,4,True
assessor,assessor,8,4,True
sirio,sirio,5,4,True
assediadores,assediador,12,4,True
assediadoras,assediador,12,4,True
siria,sirio,5,4,True
sirias,sirio,6,4,True
assediadora,assediador,11,4,True
ideologas,ideologo,9,4,True
ideologo,ideologo,8,4,True
escriturario,escriturario,12,4,True
escriturarias,escriturario,13,4,True
industriadores,industriador,14,4,True
incentores,incentor,10,4,True
incentoras,incentor,10,4,True
incentora,incentor,9,4,True
incentor,incentor,8,4,True
sapateiros,sapateiro,10,4,True
asmaticos,asmatico,9,4,True
sapateiro,sapateiro,9,4,True
sapateiras,sapateiro,10,4,True
sapateira,sapateiro,9,4,True
escrituraria,escriturario,12,4,True
industriadoras,industriador,14,4,True
incensadora,incensador,11,4,True
segeira,segeiro,7,4,True
segeiras,segeiro,8,4,True
segeiro,segeiro,7,4,True
asiatica,asiatico,8,4,True
escatologos,escatologo,11,4,True
asmatico,asmatico,8,4,True
escatologo,escatologo,10,4,True
escatologas,escatologo,11,4,True
escatologa,escatologo,10,4,True
asmaticas,asmatico,9,4,True
escriturarios,escriturario,13,4,True
asiaticos,asiatico,9,4,True
asiatico,asiatico,8,4,True
asiaticas,asiatico,9,4,True
incensadores,incensador,12,4,True
incensadoras,incensador,12,4,True
asmatica,asmatico,8,4,True
industriadora,industriador,13,4,True
escritores,escritor,10,4,True
escrevedores,escrevedor,12,4,True
escrevedoras,escrevedor,12,4,True
horteloas,hortelao,9,4,True
horteloa,hortelao,8,4,True
hortelao,hortelao,8,4,True
horteloes,hortelao,9,4,True
escrevedor,escrevedor,10,4,True
escrevedora,escrevedor,11,4,True
industriador,industriador,12,4,True
escrevinhadora,escrevinhador,14,4,True
escrevinhadoras,escrevinhador,15,4,True
escrevinhadores,escrevinhador,15,4,True
escribomana,escribomano,11,4,True
escribomanas,escribomano,12,4,True
escribomano,escribomano,11,4,True
escribomanos,escribomano,12,4,True
escribomaniaca,escribomaniaco,14,4,True
escribomaniacas,escribomaniaco,15,4,True
escribomaniaco,escribomaniaco,14,4,True
escribomaniacos,escribomaniaco,15,4,True
escavadores,escavador,11,4,True
escavadoras,escavador,11,4,True
escavadora,escavador,10,4,True
escavador,escavador,9,4,True
escritor,escritor,8,4,True
escritora,escritor,9,4,True
escritoras,escritor,10,4,True
escrevinhador,escrevinhador,13,4,True
indonesia,indonesio,9,4,True
indonesias,indonesio,10,4,True
indonesio,indonesio,9,4,True
indonesios,indonesio,10,4,True
assoalhadores,assoalhador,13,4,True
assoalhadoras,assoalhador,13,4,True
assoalhadora,assoalhador,12,4,True
assoalhador,assoalhador,11,4,True
socias,socio,6,4,True
epileptica,epileptico,10,4,True
socia,socio,5,4,True
associada,associado,9,4,True
epilepticas,epileptico,11,4,True
socio,socio,5,4,True
epilepticos,epileptico,11,4,True
socios,socio,6,4,True
bacharelanda,bacharelando,12,4,True
bacharelandas,bacharelando,13,4,True
bacharelando,bacharelando,12,4,True
bacharelandos,bacharelando,13,4,True
bacharelas,bacharel,10,4,True
sinologa,sinologo,8,4,True
sinologas,sinologo,9,4,True
sinologo,sinologo,8,4,True
epileptico,epileptico,10,4,True
bacharel,bacharel,8,4,True
bacharela,bacharel,9,4,True
associadas,associado,10,4,True
azulejador,azulejador,10,4,True
azulejadora,azulejador,11,4,True
azulejadoras,azulejador,12,4,True
azulejadores,azulejador,12,4,True
saxao,saxao,5,4,True
saxona,saxao,6,4,True
saxonicos,saxonico,9,4,True
assirios,assirio,8,4,True
assirio,assirio,7,4,True
assirias,assirio,8,4,True
saxonico,saxonico,8,4,True
saxonica,saxonico,8,4,True
saxonas,saxao,7,4,True
saxoes,saxao,6,4,True
assiria,assirio,7,4,True
saxonicas,saxonico,9,4,True
associados,associado,10,4,True
associado,associado,9,4,True
escolasticos,escolastico,12,4,True
escolastico,escolastico,11,4,True
escolasticas,escolastico,12,4,True
incredula,incredulo,9,4,True
incredulas,incredulo,10,4,True
incredulos,incredulo,10,4,True
escolastica,escolastico,11,4,True
incredulo,incredulo,9,4,True
indiana,indiano,7,4,True
sardas,sardo,6,4,True
indianas,indiano,8,4,True
bacteriologos,bacteriologo,13,4,True
bacteriologo,bacteriologo,12,4,True
sardos,sardo,6,4,True
sarda,sardo,5,4,True
astronomo,astronomo,9,4,True
sardo,sardo,5,4,True
bacteriologa,bacteriologo,12,4,True
bacteriologas,bacteriologo,13,4,True
astronomos,astronomo,10,4,True
indiano,indiano,7,4,True
indianos,indiano,8,4,True
assessores,assessor,10,4,True
assessoras,assessor,10,4,True
escoteira,escoteiro,9,4,True
escoteiras,escoteiro,10,4,True
escoteiro,escoteiro,9,4,True
escoteiros,escoteiro,10,4,True
huno,huno,4,4,True
hunos,huno,5,4,True
sarracenos,sarraceno,10,4,True
sarraceno,sarraceno,9,4,True
bachareis,bacharel,9,4,True
sarracenas,sarraceno,10,4,True
sarracena,sarraceno,9,4,True
sinologos,sinologo,9,4,True
hunas,huno,5,4,True
huna,huno,4,4,True
sargentos,sargento,9,4,True
sargento,sargento,8,4,True
ictiologa,ictiologo,9,4,True
ictiologas,ictiologo,10,4,True
sargentas,sargento,9,4,True
ictiologo,ictiologo,9,4,True
ictiologos,ictiologo,10,4,True
sinaleiros,sinaleiro,10,4,True
sinaleiro,sinaleiro,9,4,True
sinaleiras,sinaleiro,10,4,True
sargenta,sargento,8,4,True
sinaleira,sinaleiro,9,4,True
astronoma,astronomo,9,4,True
astronomas,astronomo,10,4,True
astrologa,astrologo,9,4,True
astrologas,astrologo,10,4,True
astrologo,astrologo,9,4,True
astrologos,astrologo,10,4,True
escandinavo,escandinavo,11,4,True
escandinavas,escandinavo,12,4,True
escandinavos,escandinavo,12,4,True
escandinava,escandinavo,11,4,True
historiografos,historiografo,14,4,True
historiografo,historiografo,13,4,True
arrumadores,arrumador,11,4,True
arrumadoras,arrumador,11,4,True
arrumadora,arrumador,10,4,True
arrumador,arrumador,9,4,True
ilustrador,ilustrador,10,4,True
ilustradora,ilustrador,11,4,True
ilustradoras,ilustrador,12,4,True
ilustradores,ilustrador,12,4,True
entrevistadores,entrevistador,15,4,True
entrevistadoras,entrevistador,15,4,True
entrevistadora,entrevistador,14,4,True
entrevistador,entrevistador,13,4,True
artilheira,artilheiro,10,4,True
artilheiras,artilheiro,11,4,True
artilheiro,artilheiro,10,4,True
artilheiros,artilheiro,11,4,True
selectora,selector,9,4,True
selectoras,selector,10,4,True
selectores,selector,10,4,True
hungaros,hungaro,8,4,True
hungaro,hungaro,7,4,True
hungaras,hungaro,8,4,True
hungara,hungaro,7,4,True
atormentador,atormentador,12,4,True
atormentadoras,atormentador,14,4,True
atormentadores,atormentador,14,4,True
atormentadora,atormentador,13,4,True
servos,servo,6,4,True
servo,servo,5,4,True
infractor,infractor,9,4,True
infractora,infractor,10,4,True
infractoras,infractor,11,4,True
infractores,infractor,11,4,True
semideuses,semideus,10,4,True
salteador,salteador,9,4,True
servidores,servidor,10,4,True
servidoras,servidor,10,4,True
servidora,servidor,9,4,True
servidor,servidor,8,4,True
salteadores,salteador,11,4,True
salteadoras,salteador,11,4,True
