verbos_infinito
ir
ser
fazer
ter
ver
vir
estar
amar
poder
dar
haver
pôr
comer
querer
partir
falar
trazer
estudar
cantar
dizer
sair
ler
saber
rir
correr
dormir
vender
beber
pedir
escrever
andar
sorrir
ouvir
sentir
ficar
chegar
agir
gostar
brincar
abrir
caber
viver
conseguir
comprar
jogar
cair
perder
manter
corrigir
passar
receber
viajar
pensar
conhecer
assistir
aprender
dançar
começar
intervir
seguir
trabalhar
crer
encontrar
precisar
deixar
dividir
levar
dever
colorir
voltar
chamar
voar
subir
pular
entender
passear
fugir
expor
nascer
compor
olhar
parar
achar
valer
usar
lembrar
medir
dirigir
reaver
esquecer
morar
acordar
colocar
propor
proteger
ganhar
feder
tomar
requerer
esperar
conjugar
pegar
descer
morrer
entrar
fingir
tossir
mexer
contar
possuir
ajudar
bater
conversar
cumprir
mandar
chover
chorar
preferir
descobrir
continuar
suar
lavar
doer
doar
acabar
desejar
vestir
imprimir
existir
decidir
sonhar
prever
conter
sumir
caminhar
pagar
dispor
falir
procurar
nadar
construir
divertir
prover
atender
acontecer
mudar
escolher
entreter
responder
aderir
mentir
crescer
perdoar
fechar
almoçar
enviar
desistir
encher
tornar
participar
parecer
realizar
servir
vencer
ligar
permitir
avisar
terminar
sentar
demolir
tirar
buscar
polir
apresentar
sofrer
entregar
criar
casar
levantar
perceber
impor
ferir
adquirir
rever
perguntar
repor
agradecer
adequar
convidar
aceitar
precaver
tentar
mostrar
deter
ensinar
odiar
acreditar
informar
visitar
pentear
matar
aparecer
obter
aproveitar
beijar
respeitar
resolver
tocar
gritar
supor
incluir
roer
zoar
surgir
compreender
cobrir
cuidar
pintar
julgar
excluir
discutir
destruir
permanecer
escutar
ceder
oferecer
preparar
limpar
repetir
imaginar
convir
competir
cortar
marcar
analisar
salvar
interagir
adorar
prender
reter
reunir
roubar
preocupar
arrumar
varrer
plantar
garantir
virar
colher
merecer
observar
abraçar
unir
ingerir
lutar
curtir
refletir
compartilhar
provir
iniciar
abolir
sugerir
opor
diminuir
atingir
exigir
bloquear
acompanhar
soar
maquiar
guardar
encaminhar
cozinhar
caçar
despedir
explicar
concluir
atrair
contribuir
apoiar
magoar
aguardar
contradizer
defender
presentear
repartir
ansiar
ocorrer
cansar
distrair
alcançar
lançar
produzir
exercer
insistir
satisfazer
copiar
utilizar
considerar
transformar
calar
descansar
faltar
tratar
esconder
apagar
quebrar
abençoar
errar
saltar
indicar
desenhar
confundir
resistir
acender
praticar
conquistar
deitar
lidar
conduzir
negar
reagir
atrasar
mediar
despir
jantar
desenvolver
engolir
torcer
formar
obedecer
trocar
eleger
retirar
consumir
namorar
moer
impedir
separar
parir
trair
assumir
telefonar
confiar
surpreender
lamber
comparecer
substituir
expressar
gastar
juntar
abster
devolver
secar
cobrar
orientar
prestar
refazer
enganar
intermediar
orar
comunicar
evoluir
evitar
reconhecer
prevenir
agredir
temer
aproximar
aguar
emprestar
escanear
conferir
prometer
estrear
puxar
cuspir
convencer
frear
proibir
definir
melhorar
concordar
cometer
invadir
gemer
emitir
causar
enjoar
advir
auxiliar
animar
comemorar
honrar
provar
morder
semear
afastar
reger
preencher
educar
parabenizar
gerar
retornar
abandonar
reclamar
escovar
importar
completar
atravessar
optar
infartar
distribuir
inserir
mover
gerir
aplaudir
representar
apanhar
alegrar
organizar
banir
coçar
assinar
basear
constituir
identificar
perseguir
aplicar
soltar
duvidar
depor
pretender
postar
treinar
demorar
adicionar
apreciar
atribuir
explodir
necessitar
proporcionar
aumentar
cheirar
